tn_type,param_name,param_value,A,B,C,trial,beta_idx,beta_mid,beta_left,beta_right,delta_beta,step_error,step_error_metric,E_L1,E_L2,Z1_log_error,Z_true_final
uniform1,jitter,0.05,200,40,200,0,108,0.999464320761822,0.9994457335479336,0.9994829079757104,3.717442777673163e-05,0.02450924180615622,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,109,0.999500248552647,0.9994829079757104,0.9995175891295834,3.468115387306181e-05,0.0038657502291793815,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,110,0.9995337666810067,0.9995175891295834,0.9995499442324299,3.235510284649301e-05,0.007430919959982554,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,111,0.9995650367619928,0.9995499442324299,0.9995801292915556,3.0185059125664715e-05,0.003969685412904588,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,112,0.9995942095712373,0.9995801292915556,0.9996082898509191,2.816055936349926e-05,0.02484846342945768,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,113,0.9996214257719117,0.9996082898509191,0.9996345616929043,2.627184198522592e-05,0.012498148703548593,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,114,0.9996468165929648,0.9996345616929043,0.9996590714930254,2.4509800121030878e-05,0.007152115048222883,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,115,0.999670504461873,0.9996590714930254,0.9996819374307205,2.2865937695182303e-05,0.004895107871865744,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,116,0.9996926035949508,0.9996819374307205,0.9997032697591811,2.1332328460577088e-05,0.012727592070381244,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,117,0.999713220548071,0.9997032697591811,0.9997231713369608,1.9901577779646296e-05,0.004852733235688272,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,118,0.9997324547304463,0.9997231713369608,0.9997417381239317,1.8566786970986016e-05,0.0024553234237254754,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,119,0.9997503988839539,0.9997417381239317,0.999759059643976,1.7321520044299987e-05,0.018250474068269684,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,120,0.9997671395303106,0.999759059643976,0.9997752194166452,1.615977266911095e-05,0.008660183686847322,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,121,0.9997827573882564,0.9997752194166452,0.9997902953598676,1.507594322247563e-05,0.0045770688257039775,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,122,0.999797327762758,0.9997902953598676,0.9998043601656483,1.406480578070024e-05,0.002430790901965454,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,123,0.9998109209081082,0.9998043601656483,0.999817481650568,1.3121484919720316e-05,0.0007317004183694693,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
