schedule,A,B,C,trial,beta_idx,beta_mid,beta_left,beta_right,delta_beta,true_ratio,step_error,step_error_metric,E_L1,E_L2,Z1_log_error
Logspace,200,40,50,3,40,0.9398610182358743,0.9377742916326977,0.941947744839051,0.004173453206353317,0.9998582943477565,4.249006435998224,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,41,0.9438945155291281,0.941947744839051,0.9458412862192053,0.0038935413801542973,0.9998706632703571,4.252221411767544,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,42,0.9476574877829242,0.9458412862192053,0.9494736893466432,0.0036324031274379553,0.9998817786900667,4.2552069552308485,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,43,0.9511680790027379,0.9494736893466432,0.9528624686588327,0.003388779312189505,0.9998917903912516,4.257980502247491,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,44,0.9544432162829027,0.9528624686588327,0.9560239639069728,0.0031614952481400227,0.9999008273449562,4.260558000925067,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,45,0.9574986914243504,0.9560239639069728,0.958973418941728,0.0029494550347552995,0.999909000982471,4.2629540637143615,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,46,0.9603492370782825,0.958973418941728,0.9617250552148369,0.002751636273108815,0.9999164078997512,4.26518210015419,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,47,0.9630085977829161,0.9617250552148369,0.9642921403509954,0.0025670851361585534,0.9999231321003337,4.267254433272787,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,48,0.9654895962358243,0.9642921403509954,0.9666870521206533,0.0023949117696578925,0.9999292468625058,4.269182402120621,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,49,0.9678041951214166,0.9666870521206533,0.9689213381221798,0.002234286001526531,0.9999348162992409,4.270976452437174,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,50,0.9699635547916756,0.9689213381221798,0.9710057714611713,0.0020844333389914427,0.9999398966660602,4.272646217154306,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,51,0.9719780870782699,0.9710057714611713,0.9729504026953686,0.0019446312341973027,0.9999445374612852,4.27420058814697,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,52,0.9738575054955105,0.9729504026953686,0.9747646082956524,0.0018142056002837803,0.9999487823545931,4.275647780364071,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,53,0.9756108720762141,0.9747646082956524,0.9764571358567758,0.0016925275611234802,0.9999526699732403,4.276995389372897,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,54,0.9772466410663052,0.9764571358567758,0.9780361462758346,0.001579010419058724,0.9999562345697651,4.278250443116507,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,55,0.9787726996888381,0.9780361462758346,0.9795092531018416,0.0014731068260069868,0.9999595065907337,4.279419448595324,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,56,0.9801964061739923,0.9795092531018416,0.980883559246143,0.0013743061443014515,0.9999625131626505,4.280508434108827,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,57,0.981524625238412,0.980883559246143,0.9821656912306809,0.0012821319845378598,0.9999652785081729,4.281522987505374,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,58,0.9827637611849598,0.9821656912306809,0.9833618311392387,0.001196139908557825,0.9999678243037403,4.282468290988855,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,59,0.9839197887824841,0.9833618311392387,0.9844777464257295,0.0011159152864907984,0.9999701699875282,4.283349152736461,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,60,0.984998282074492,0.9844777464257295,0.9855188177232547,0.0010410712975251757,0.9999723330254535,4.284170035779857,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,61,0.9860044412556372,0.9855188177232547,0.9864900647880197,0.0009712470647650351,0.9999743291414823,4.284935084394171,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,62,0.9869431177456112,0.9864900647880197,0.9873961707032027,0.0009061059151830309,0.9999761725174485,4.285648148173973,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,63,0.9878188375813406,0.9873961707032027,0.9882415044594784,0.0008453337562757124,0.9999778759670174,4.286312804201971,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,64,0.9886358232402773,0.9882415044594784,0.9890301420210762,0.0007886375615977492,0.9999794510873098,4.286932377301653,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,65,0.9893980140000108,0.9890301420210762,0.9897658859789454,0.0007357439578692393,0.9999809083914741,4.287509958668183,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,66,0.9901090849323687,0.9897658859789454,0.990452283885792,0.0006863979068465476,0.999982257424861,4.288048423039156,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,67,0.9907724646235907,0.990452283885792,0.9910926453613895,0.0006403614755975395,0.999983506866983,4.288550444437001,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,68,0.991391351706018,0.9910926453613895,0.9916900580506466,0.0005974126892570597,0.9999846646212975,4.289018510756018,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,69,0.9919687302810085,0.9916900580506466,0.9922474025113706,0.0005573444607239741,0.9999857378943268,4.289454937136408,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,70,0.9925073843074435,0.9922474025113706,0.9927673661035165,0.0005199635921459,0.9999867332656395,4.289861878405068,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,71,0.9930099110252029,0.9927673661035165,0.9932524559468893,0.00048508984337281014,0.9999876567497491,4.290241340444803,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,72,0.9934787334783337,0.9932524559468893,0.9937050110097781,0.0004525550628888819,0.9999885138511149,4.29059519084243,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,73,0.9939161121982943,0.9937050110097781,0.9941272133868105,0.00042220237703238794,0.9999893096129955,4.290925168662232,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,74,0.9943241561036082,0.9941272133868105,0.9945210988204061,0.0003938854335955311,0.9999900486609662,4.291232893478835,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,75,0.994704832668483,0.9945210988204061,0.9948885665165599,0.0003674676961538115,0.9999907352417757,4.291519873789244,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,76,0.9950599774094226,0.9948885665165599,0.9952313883022855,0.00034282178572564437,0.9999913732580861,4.291787514807878,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,77,0.995391302735579,0.9952313883022855,0.9955512171688724,0.0003198288665868798,0.9999919662995783,4.292037125662578,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,78,0.995700406205511,0.9955512171688724,0.9958495952421496,0.00029837807327715016,0.9999925176708633,4.292269926065991,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,79,0.9959887782301685,0.9958495952421496,0.9961279612181875,0.0002783659760379198,0.9999930304165887,4.2924870525714,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,80,0.996257809259239,0.9961279612181875,0.9963876573002906,0.00025969608210307804,0.9999935073440207,4.292689564305055,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,81,0.9965087964855093,0.9963876573002906,0.9966299356707281,0.00024227837043755418,0.9999939510434104,4.29287844829652,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,82,0.9967429500995684,0.9966299356707281,0.9968559645284085,0.00022602885768041592,0.9999943639064042,4.293054624486589,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,83,0.9969613991250093,0.9968559645284085,0.99706683372161,0.00021086919320145725,0.9999947481426907,4.293218950363548,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,84,0.9971651968622677,0.99706683372161,0.9972635600029254,0.00019672628131539582,0.9999951057950572,4.29337222515658,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,85,0.9973553259673429,0.9972635600029254,0.9974470919317605,0.00018353192883513447,0.99999543875311,4.2935151940229135,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,86,0.9975327031898922,0.9974470919317605,0.9976183144480238,0.0001712225162633363,0.9999957487656452,4.293648551474414,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,87,0.9976981837935421,0.9976183144480238,0.9977780531390604,0.00015973869103658167,0.9999960374520119,4.293772945140057,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,88,0.9978525656797326,0.9977780531390604,0.9979270782204046,0.00014902508134417847,0.9999963063123691,4.293888978756787,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,89,0.9979965932349747,0.9979270782204046,0.9980661082495448,0.0001390300291401747,0.9999965567370932,4.293997215253324,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,90,0.9981309609200764,0.9980661082495448,0.9981958135906079,0.00012970534106315768,0.9999967900153465,4.294098179494778,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,91,0.9982563166186385,0.9981958135906079,0.9983168196466691,0.00012100605606113479,0.999997007342919,4.294192360889628,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,92,0.9983732647609698,0.9983168196466691,0.9984297098752706,0.00011289022860150322,0.9999972098294095,4.294280215874929,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,93,0.9984823692384817,0.9984297098752706,0.9985350286016927,0.00010531872642216555,0.999997398504779,4.294362170023495,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,94,0.9985841561226154,0.9985350286016927,0.998633283643538,9.825504184524103e-05,0.9999975743253747,4.294438620088591,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,95,0.9986791162014125,0.998633283643538,0.998724948759287,9.16651157489845e-05,0.9999977381794981,4.2945099363193195,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,96,0.9987677073459583,0.998724948759287,0.9988104659326297,8.551717334270847e-05,0.9999978908924424,4.2945764638606265,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,97,0.9988503567181088,0.9988104659326297,0.9988902475035879,7.978157095822613e-05,0.9999980332311784,4.294638524539199,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,98,0.9989274628301461,0.9988902475035879,0.9989646781567043,7.443065311640851e-05,0.999998165908669,4.294696418611921,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,99,0.9989993974662943,0.9989646781567043,0.9990341167758842,6.943861917985128e-05,0.9999982895878163,4.2947504260972895,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,100,0.9990665074753589,0.9990341167758842,0.9990988981748335,6.478139894938728e-05,0.9999984048851158,4.2948008081651174,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,101,0.9991291164431358,0.9990988981748335,0.9991593347114381,6.043653660459114e-05,0.999998512374013,4.294847808269206,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,102,0.9991875262526522,0.9991593347114381,0.9992157177938662,5.638308242805756e-05,0.9999986125880413,4.294891653772755,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,103,0.9992420185397617,0.9992157177938662,0.9992683192856573,5.26014917910933e-05,0.9999987060236529,4.294932556462846,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
