A,B,C,beta_idx,beta,rel_error
200,10,200,39,0.19597989949748745,7.561734398967348
200,10,200,40,0.20100502512562815,6.677580427934711
200,10,200,41,0.20603015075376885,7.487254676966763
200,10,200,42,0.21105527638190955,8.633146912751457
200,10,200,43,0.21608040201005024,6.932607320083251
200,10,200,44,0.22110552763819097,7.632131819107139
200,10,200,45,0.22613065326633167,5.621508489437657
200,10,200,46,0.23115577889447236,6.1018353285986535
200,10,200,47,0.23618090452261306,9.543755804668885
200,10,200,48,0.24120603015075376,6.496228228778166
200,10,200,49,0.24623115577889448,7.479535115795728
200,10,200,50,0.25125628140703515,5.334692303977579
200,10,200,51,0.2562814070351759,5.245955926547764
200,10,200,52,0.2613065326633166,11.932398921281926
200,10,200,53,0.2663316582914573,11.383873925379898
200,10,200,54,0.271356783919598,7.865003649963134
200,10,200,55,0.2763819095477387,14.760289447640474
200,10,200,56,0.2814070351758794,10.557555823313262
200,10,200,57,0.2864321608040201,9.934135715154989
200,10,200,58,0.2914572864321608,5.424302470615544
200,10,200,59,0.2964824120603015,8.669397105106576
200,10,200,60,0.30150753768844224,9.275741419886238
200,10,200,61,0.3065326633165829,6.806302575092626
200,10,200,62,0.31155778894472363,11.300268136864876
200,10,200,63,0.3165829145728643,6.951750945699469
200,10,200,64,0.32160804020100503,5.292512894843639
200,10,200,65,0.32663316582914576,6.056034808015971
200,10,200,66,0.3316582914572864,7.0610277279663975
200,10,200,67,0.33668341708542715,10.420756304577923
200,10,200,68,0.3417085427135678,7.512392729796389
200,10,200,69,0.34673366834170855,9.069514653429614
200,10,200,70,0.35175879396984927,9.956605990117163
200,10,200,71,0.35678391959798994,6.398497235417604
200,10,200,72,0.36180904522613067,5.113283729408731
200,10,200,73,0.36683417085427134,5.45784699091603
200,10,200,74,0.37185929648241206,8.704068109016221
200,10,200,75,0.3768844221105528,4.114316504687443
200,10,200,76,0.38190954773869346,5.003574848093002
200,10,200,77,0.3869346733668342,4.508661393230043
200,10,200,78,0.3919597989949749,7.497335585442445
200,10,200,79,0.3969849246231156,7.684631249845571
200,10,200,80,0.4020100502512563,6.973760756523687
200,10,200,81,0.40703517587939697,6.065038837918412
200,10,200,82,0.4120603015075377,8.008244043017015
200,10,200,83,0.4170854271356784,8.5923203558803
200,10,200,84,0.4221105527638191,7.699383044039171
200,10,200,85,0.4271356783919598,10.950928415762103
200,10,200,86,0.4321608040201005,6.23944743446556
200,10,200,87,0.4371859296482412,9.019881954478763
200,10,200,88,0.44221105527638194,10.163280843449245
200,10,200,89,0.4472361809045226,8.585563107812247
200,10,200,90,0.45226130653266333,11.399409040271836
200,10,200,91,0.457286432160804,7.429303192377409
200,10,200,92,0.4623115577889447,8.366389289851211
200,10,200,93,0.46733668341708545,8.438245048812574
200,10,200,94,0.4723618090452261,3.433251718508746
200,10,200,95,0.47738693467336685,7.162967641571618
200,10,200,96,0.4824120603015075,8.695374232806113
200,10,200,97,0.48743718592964824,11.400608641059527
200,10,200,98,0.49246231155778897,3.2425887077796993
200,10,200,99,0.49748743718592964,3.831367291030549
200,10,200,100,0.5025125628140703,5.557693178283974
200,10,200,101,0.507537688442211,5.374461739046706
200,10,200,102,0.5125628140703518,9.596181008001148
200,10,200,103,0.5175879396984925,4.664693630798263
200,10,200,104,0.5226130653266332,6.2315134769947145
200,10,200,105,0.5276381909547738,10.297184080322383
200,10,200,106,0.5326633165829145,3.865622371030188
200,10,200,107,0.5376884422110553,8.537384463148133
200,10,200,108,0.542713567839196,6.446001217367228
200,10,200,109,0.5477386934673367,4.140764525816685
200,10,200,110,0.5527638190954774,7.111517031927129
200,10,200,111,0.5577889447236181,7.050252198179872
200,10,200,112,0.5628140703517588,9.74094505800506
200,10,200,113,0.5678391959798995,13.50645146759534
200,10,200,114,0.5728643216080402,9.533862043714272
200,10,200,115,0.577889447236181,8.792973359307064
200,10,200,116,0.5829145728643216,6.932562424821157
200,10,200,117,0.5879396984924623,12.488463902645762
200,10,200,118,0.592964824120603,6.853994379924174
200,10,200,119,0.5979899497487438,3.505981111608326
