A,B,C,trial,beta_idx,beta,true_ratio,est_ratio,geom_error_ratio
200,10,50,1,60,0.30150753768844224,0.9927905640498169,,0.011535768675542988
200,10,50,1,61,0.3065326633165829,0.9931445720479182,,0.011892283846070491
200,10,50,1,62,0.31155778894472363,0.9934663330092343,,0.012216213371787086
200,10,50,1,63,0.3165829145728643,0.9937602103069045,,0.01251197965047469
200,10,50,1,64,0.32160804020100503,0.9940298803073494,,0.012783306088183125
200,10,50,1,65,0.32663316582914576,0.99427844837495,,0.01303333578962282
200,10,50,1,66,0.3316582914572864,0.9945085443338767,,0.02710295034694186
200,10,50,1,67,0.33668341708542715,0.9947224011476616,,0.013479743623174742
200,10,50,1,68,0.3417085427135678,0.9949219198800728,,0.013680300809171934
200,10,50,1,69,0.34673366834170855,0.9951087234299395,,0.03974374698977016
200,10,50,1,70,0.35175879396984927,0.9952842010673354,,0.014044364799781345
200,10,50,1,71,0.35678391959798994,0.9954495454203477,,0.01421047878030191
200,10,50,1,72,0.36180904522613067,0.9956057832551473,,0.0143674185025384
200,10,50,1,73,0.36683417085427134,0.9957538011435081,,0.014516078633831024
200,10,50,1,74,0.37185929648241206,0.9958943669107955,,0.014657233853689057
200,10,50,1,75,0.3768844221105528,0.9960281475943286,,0.014791557034194033
200,10,50,1,76,0.38190954773869346,0.9961557245097684,,0.014919634484675395
200,10,50,1,77,0.3869346733668342,0.996277605915952,,0.015041978760365279
200,10,50,1,78,0.3919597989949749,0.9963942376811873,,0.015159039445237051
200,10,50,1,79,0.3969849246231156,0.9965060122831146,,0.015271212246707565
200,10,50,1,80,0.4020100502512563,0.9966132764161839,,0.015378846680612915
200,10,50,1,81,0.40703517587939697,0.9967163374334799,,0.015482252576629371
200,10,50,1,82,0.4120603015075377,0.9968154688108667,,0.015581705594793433
200,10,50,1,83,0.4170854271356784,0.9969109147895137,,0.015677451911343836
200,10,50,1,84,0.4221105527638191,0.9970028943268201,,0.015769712205596764
200,10,50,1,85,0.4271356783919598,0.9970916044640589,,0.015858685057536064
200,10,50,1,86,0.4321608040201005,0.9971772232013704,,0.015944549847855906
200,10,50,1,87,0.4371859296482412,0.9972599119559131,,0.016027469237123712
200,10,50,1,88,0.44221105527638194,0.9973398176668182,,0.01610759128844137
200,10,50,1,89,0.4472361809045226,0.997417074600385,,0.01618505128760739
200,10,50,1,90,0.45226130653266333,0.9974918059005597,,0.016259973306291895
200,10,50,1,91,0.457286432160804,0.9975641249226265,,0.016332471546548148
200,10,50,1,92,0.4623115577889447,0.9976341363821689,,0.01640265149901602
200,10,50,1,93,0.46733668341708545,0.99770193734643,,0.016470610942219115
200,10,50,1,94,0.4723618090452261,0.9977676180910193,,0.016536440806106972
200,10,50,1,95,0.47738693467336685,0.997831262841468,,0.016600225919516258
200,10,50,1,96,0.4824120603015075,0.9978929504161888,,0.016662045658266726
200,10,50,1,97,0.48743718592964824,0.9979527547848857,,0.016721974508035982
200,10,50,1,98,0.49246231155778897,0.9980107455544381,,0.016780082554158672
200,10,50,1,99,0.49748743718592964,0.9980669883924493,,0.016836435908609327
200,10,50,1,100,0.5025125628140703,0.9981215453972163,,0.01689109708299983
200,10,50,1,101,0.507537688442211,0.9981744754215224,,0.016944125315052065
200,10,50,1,102,0.5125628140703518,0.9982258343566888,,0.016995576855032467
200,10,50,1,103,0.5175879396984925,0.9982756753822458,,0.017045505217544873
200,10,50,1,104,0.5226130653266332,0.9983240491860553,,0.017093961403552682
200,10,50,1,105,0.5276381909547738,0.9983710041586696,,0.017140994096446746
200,10,50,1,106,0.5326633165829145,0.9984165865656126,,0.01718664983585802
200,10,50,1,107,0.5376884422110553,0.9984608407003346,,0.017230973172007714
200,10,50,1,108,0.542713567839196,0.9985038090204956,,0.017274006803247685
200,10,50,1,109,0.5477386934673367,0.9985455322697377,,0.01731579169897914
200,10,50,1,110,0.5527638190954774,0.9985860495867989,,0.017356367209810975
200,10,50,1,111,0.5577889447236181,0.9986253986036409,,0.017395771166646194
200,10,50,1,112,0.5628140703517588,0.9986636155339236,,0.017434039970026044
200,10,50,1,113,0.5678391959798995,0.9987007352531214,,0.01747120867105697
200,10,50,1,114,0.5728643216080402,0.9987367913712053,,0.017507311044830564
200,10,50,1,115,0.577889447236181,0.9987718162989182,,0.017542379657382656
200,10,50,1,116,0.5829145728643216,0.9988058413083204,,0.01757644592687308
200,10,50,1,117,0.5879396984924623,0.9988388965883506,,0.01760954017972606
200,10,50,1,118,0.592964824120603,0.9988710112959115,,0.017641691702263887
200,10,50,1,119,0.5979899497487438,0.9989022136030901,,0.01767292878842784
200,10,50,1,120,0.6030150753768845,0.9989325307408434,,0.017703278783932686
200,10,50,1,121,0.6080402010050251,0.9989619890396129,,0.017732768127319415
200,10,50,1,122,0.6130653266331658,0.9989906139671395,,0.017761422388171775
200,10,50,1,123,0.6180904522613065,0.9990184301638461,,0.01778926630288283
200,10,50,1,124,0.6231155778894473,0.999045461475928,,0.01781632380809743
200,10,50,1,125,0.628140703517588,0.999071730986504,,0.01784261807219375
200,10,50,1,126,0.6331658291457286,0.9990972610448963,,0.017868171524875676
200,10,50,1,127,0.6381909547738693,0.9991220732943036,,0.01789300588513052
200,10,50,1,128,0.6432160804020101,0.9991461886979611,,0.017917142187665467
200,10,50,1,129,0.6482412060301508,0.9991696275639349,,0.017940600807953726
200,10,50,1,130,0.6532663316582915,0.9991924095686728,,0.017963401486024096
200,10,50,1,131,0.6582914572864321,0.9992145537794028,,0.017985563349085625
200,10,50,1,132,0.6633165829145728,0.9992360786754653,,0.01800710493306444
200,10,50,1,133,0.6683417085427136,0.9992570021686676,,0.01802804420316119
200,10,50,1,134,0.6733668341708543,0.9992773416227535,,0.01804839857350238
200,10,50,1,135,0.678391959798995,0.9992971138719786,,0.01806818492589054
200,10,50,1,136,0.6834170854271356,0.9993163352389417,,0.0180874196278013
200,10,50,1,137,0.6884422110552764,0.9993350215516661,,0.0181061185496132
200,10,50,1,138,0.6934673366834171,0.999353188159964,,0.01812429708112214
200,10,50,1,139,0.6984924623115578,0.9993708499511902,,0.01814197014742833
200,10,50,1,140,0.7035175879396985,0.9993880213653469,,0.01815915222416902
200,10,50,1,141,0.7085427135678392,0.9994047164096257,,0.0181758573521838
200,10,50,1,142,0.7135678391959799,0.999420948672407,,0.018192099151621618
