tensor_type,n_sites,dim,N,A,B,C,seed,Z_est,Z_std,Z_true,rel_error,time_seconds
spikes,16,3,100000,20,10,500,101,3.491093166442304e+16,8.855539211606005e+16,1.6829668154011603e+17,0.7925631608125232,1.202833890914917
spikes,16,3,100000,20,20,250,11,6.135927120192731e+16,1.626337351030367e+17,1.6829668154011603e+17,0.6354100945995099,1.0484349727630615
spikes,16,3,100000,20,20,250,23,3.1736226065757677e+17,6.411941651146668e+17,1.6829668154011603e+17,0.8857309469998594,1.0476889610290527
spikes,16,3,100000,20,20,250,42,1.5493359940979354e+17,5.1965961544527494e+17,1.6829668154011603e+17,0.0794019347739617,1.0465517044067383
spikes,16,3,100000,20,20,250,77,1.2434561537746675e+17,3.390417763170944e+17,1.6829668154011603e+17,0.26115230413603185,1.0451021194458008
spikes,16,3,100000,20,20,250,101,7.325476746376003e+16,1.8299546256425805e+17,1.6829668154011603e+17,0.5647283904032376,1.0448131561279297
spikes,16,3,100000,20,25,200,11,3.2949665616373068e+16,9.449400841919798e+16,1.6829668154011603e+17,0.8042167836296937,1.013197898864746
spikes,16,3,100000,20,25,200,23,4.8695949745029736e+16,1.3561290087265739e+17,1.6829668154011603e+17,0.7106541299602374,1.0157909393310547
spikes,16,3,100000,20,25,200,42,4.3951647284472296e+16,8.551456347103208e+16,1.6829668154011603e+17,0.7388442429032936,1.0355229377746582
spikes,16,3,100000,20,25,200,77,5.401969524953659e+16,1.0536875704840462e+17,1.6829668154011603e+17,0.6790210314594932,1.023407220840454
spikes,16,3,100000,20,25,200,101,7.896627446154373e+16,2.903945526270156e+17,1.6829668154011603e+17,0.5307912566135718,1.0257506370544434
spikes,16,3,100000,20,50,100,11,1.142532388092611e+17,3.730155667817533e+17,1.6829668154011603e+17,0.32112007341019894,0.9632241725921631
spikes,16,3,100000,20,50,100,23,1.524713620131103e+17,4.685224814623187e+17,1.6829668154011603e+17,0.09403227313922721,0.965421199798584
spikes,16,3,100000,20,50,100,42,7.010544524114443e+16,1.7414365483793398e+17,1.6829668154011603e+17,0.5834413097180782,0.960392951965332
spikes,16,3,100000,20,50,100,77,2.0286652710701818e+17,9.868181357108521e+17,1.6829668154011603e+17,0.20541014386348375,0.9599611759185791
spikes,16,3,100000,20,50,100,101,3.6680775734273176e+16,8.371131328472174e+16,1.6829668154011603e+17,0.7820469459136081,0.9600520133972168
spikes,16,3,100000,20,100,50,11,6.631312447096056e+16,3.12121767602342e+17,1.6829668154011603e+17,0.6059748542626264,0.9311211109161377
spikes,16,3,100000,20,100,50,23,1.2609002927077902e+17,5.3968860409145344e+17,1.6829668154011603e+17,0.2507871924930167,0.9291908740997314
spikes,16,3,100000,20,100,50,42,1.0697391590217669e+17,6.487229501177033e+17,1.6829668154011603e+17,0.3643729934349427,0.9291539192199707
spikes,16,3,100000,20,100,50,77,1.686033345399123e+17,7.193401369634934e+17,1.6829668154011603e+17,0.0018220977204661084,0.9295773506164551
spikes,16,3,100000,20,100,50,101,1.2158990647233434e+18,1.1637257148731093e+19,1.6829668154011603e+17,6.224735827209496,0.93631911277771
spikes,16,3,100000,20,200,25,11,1.0709944959736027e+17,8.449169157060172e+17,1.6829668154011603e+17,0.36362708630216506,0.9162769317626953
spikes,16,3,100000,20,200,25,23,2.406324225280168e+17,1.4390327711150072e+18,1.6829668154011603e+17,0.42981085738555375,0.9170901775360107
spikes,16,3,100000,20,200,25,42,1.8994142155178266e+17,2.0769202255445007e+18,1.6829668154011603e+17,0.12861061676077837,0.9125208854675293
spikes,16,3,100000,20,200,25,77,1.1442043621228158e+17,9.450544718088211e+17,1.6829668154011603e+17,0.3201266051998312,0.9126338958740234
spikes,16,3,100000,20,200,25,101,1.1370278543178524e+18,1.1686129224043379e+19,1.6829668154011603e+17,5.756091943778611,0.9124789237976074
spikes,16,3,100000,50,5,400,11,5.2814651643854616e+16,7.719598074349397e+16,1.6829668154011603e+17,0.6861812653669855,1.5925650596618652
spikes,16,3,100000,50,5,400,23,3.877396746492667e+16,3.1592075279049296e+16,1.6829668154011603e+17,0.769609435491547,1.522099256515503
spikes,16,3,100000,50,5,400,42,1.455021097631952e+17,1.6972322963927235e+17,1.6829668154011603e+17,0.13544278810683147,1.5268347263336182
spikes,16,3,100000,50,5,400,77,8.003369394333635e+16,8.511597749358035e+16,1.6829668154011603e+17,0.5244487698097653,1.521845817565918
spikes,16,3,100000,50,5,400,101,9.169525430671373e+16,7.737936425503613e+16,1.6829668154011603e+17,0.4551570864761419,1.54640793800354
spikes,16,3,100000,50,10,200,11,5.0954225571246536e+16,6.927221656692403e+16,1.6829668154011603e+17,0.6972357083636208,1.231062889099121
spikes,16,3,100000,50,10,200,23,7.546225914436643e+16,1.0975934265820731e+17,1.6829668154011603e+17,0.5516117225022118,1.2301640510559082
spikes,16,3,100000,50,10,200,42,2.3054171154189715e+17,4.431153404963496e+17,1.6829668154011603e+17,0.36985298481327505,1.2300069332122803
spikes,16,3,100000,50,10,200,77,6.700655198055635e+16,8.022431635311862e+16,1.6829668154011603e+17,0.6018545857983282,1.227104902267456
spikes,16,3,100000,50,10,200,101,4.943722217934801e+16,8.807276391981176e+16,1.6829668154011603e+17,0.7062495723211043,1.238236904144287
spikes,16,3,100000,50,20,100,11,2.4143698233475846e+17,6.47980158904168e+17,1.6829668154011603e+17,0.4345914614912258,1.0889041423797607
spikes,16,3,100000,50,20,100,23,1.1738412681960709e+17,2.98221681349068e+17,1.6829668154011603e+17,0.3025166881164747,1.0886988639831543
spikes,16,3,100000,50,20,100,42,4.378681222070805e+17,7.594656264467299e+17,1.6829668154011603e+17,1.601763256411613,1.0973289012908936
spikes,16,3,100000,50,20,100,77,5.586280078946123e+16,5.492812641512085e+16,1.6829668154011603e+17,0.6680695051248203,1.1582567691802979
spikes,16,3,100000,50,20,100,101,1.5004941643406016e+17,2.94439053847251e+17,1.6829668154011603e+17,0.10842320204457723,1.094285011291504
spikes,16,3,100000,50,25,80,11,1.1314651826603434e+17,1.8395729475772278e+17,1.6829668154011603e+17,0.3276960827117428,1.0654211044311523
spikes,16,3,100000,50,25,80,23,1.2573597485702022e+17,2.442867139788848e+17,1.6829668154011603e+17,0.2528909440971409,1.0594532489776611
spikes,16,3,100000,50,25,80,42,1.272888567166896e+17,1.5608019876817763e+17,1.6829668154011603e+17,0.24366389430947635,1.0572643280029297
spikes,16,3,100000,50,25,80,77,1.438562772505395e+17,2.497489010305695e+17,1.6829668154011603e+17,0.14522214024612715,1.058471918106079
spikes,16,3,100000,50,25,80,101,2.2061117333050704e+17,5.236620181768341e+17,1.6829668154011603e+17,0.31084684089817344,1.0603368282318115
spikes,16,3,100000,50,50,40,11,2.4764182972479824e+17,9.584461529093568e+17,1.6829668154011603e+17,0.4714599685423334,1.0263628959655762
spikes,16,3,100000,50,50,40,23,7.594058676951837e+16,1.543204882764624e+17,1.6829668154011603e+17,0.5487695534185754,1.2835731506347656
spikes,16,3,100000,50,50,40,42,2.0982266087000954e+17,4.080961491442309e+17,1.6829668154011603e+17,0.24674271025358968,1.4878709316253662
spikes,16,3,100000,50,50,40,77,6.818777374059234e+16,9.29894178020012e+16,1.6829668154011603e+17,0.5948358986250197,1.2587978839874268
spikes,16,3,100000,50,50,40,101,9.834548882265211e+16,2.1513991142925446e+17,1.6829668154011603e+17,0.41564213909226727,0.9953598976135254
spikes,16,3,100000,50,100,20,11,1.820952945739608e+17,5.996837469407016e+17,1.6829668154011603e+17,0.08198981053916778,0.9598779678344727
spikes,16,3,100000,50,100,20,23,1.2973305112344291e+17,4.3367212717410246e+17,1.6829668154011603e+17,0.22914076536607705,0.9613587856292725
spikes,16,3,100000,50,100,20,42,1.14500031425719e+17,3.213407235964828e+17,1.6829668154011603e+17,0.31965365937161266,0.9601240158081055
spikes,16,3,100000,50,100,20,77,1.6802132856850717e+17,6.074192897437414e+17,1.6829668154011603e+17,0.001636116464621018,0.9607059955596924
spikes,16,3,100000,50,100,20,101,8.65522068638552e+16,1.518377443898918e+17,1.6829668154011603e+17,0.4857164973676312,0.9608259201049805
spikes,16,3,100000,50,200,10,11,7.607600169470349e+16,3.0912952340016877e+17,1.6829668154011603e+17,0.5479649331257335,0.9454917907714844
spikes,16,3,100000,50,200,10,23,1.056851342660855e+17,5.0205307260655354e+17,1.6829668154011603e+17,0.37203078932430483,1.006619930267334
spikes,16,3,100000,50,200,10,42,3.234473248755551e+17,2.4360641104620083e+18,1.6829668154011603e+17,0.9218877158814125,0.946526050567627
spikes,16,3,100000,50,200,10,77,3.1531003080500704e+17,3.1589694378455137e+18,1.6829668154011603e+17,0.8735368274617357,0.9455559253692627
spikes,16,3,100000,50,200,10,101,1.0105441655353698e+17,5.870428078286472e+17,1.6829668154011603e+17,0.39954599443810696,0.9474937915802002
spikes,16,3,100000,100,5,200,11,4.396660364589407e+16,2.389883620977679e+16,1.6829668154011603e+17,0.7387553738817245,1.5346007347106934
spikes,16,3,100000,100,5,200,23,7.996843186618307e+16,5.523489765597565e+16,1.6829668154011603e+17,0.5248365497502612,1.5382299423217773
spikes,16,3,100000,100,5,200,42,1.5671308720839174e+17,2.3017755380673072e+17,1.6829668154011603e+17,0.06882841792078452,1.544123888015747
spikes,16,3,100000,100,5,200,77,9.612839909268974e+16,1.104574643285933e+17,1.6829668154011603e+17,0.4288158375257322,1.5360329151153564
spikes,16,3,100000,100,5,200,101,6.252383774055735e+16,6.731618858116401e+16,1.6829668154011603e+17,0.6284903708831963,1.5403170585632324
spikes,16,3,100000,100,10,100,11,1.7480642745735632e+17,1.1588280093198528e+17,1.6829668154011603e+17,0.038680179892249346,1.2583260536193848
spikes,16,3,100000,100,10,100,23,1.4052211925177795e+17,2.0455909741299338e+17,1.6829668154011603e+17,0.1650333330055447,1.4275410175323486
spikes,16,3,100000,100,10,100,42,1.002684112235585e+17,1.2248856563976338e+17,1.6829668154011603e+17,0.4042163499245348,1.651001214981079
spikes,16,3,100000,100,10,100,77,1.484406339829799e+17,1.3737451531437323e+17,1.6829668154011603e+17,0.11798240687474959,1.6486022472381592
spikes,16,3,100000,100,10,100,101,1.317076935804402e+17,1.4761469580684426e+17,1.6829668154011603e+17,0.21740766142768125,1.6658267974853516
spikes,16,3,100000,100,20,50,11,1.6911932550226368e+17,3.228771881883438e+17,1.6829668154011603e+17,0.004888058128178591,1.4421229362487793
spikes,16,3,100000,100,20,50,23,1.4796369133284285e+17,2.7223281857994672e+17,1.6829668154011603e+17,0.12081634659223218,1.4031329154968262
spikes,16,3,100000,100,20,50,42,1.5950135140813075e+17,2.9746886051993805e+17,1.6829668154011603e+17,0.05226086486969014,2.5464088916778564
spikes,16,3,100000,100,20,50,77,1.342156374506464e+17,1.8997260298614083e+17,1.6829668154011603e+17,0.20250574032468907,2.3083009719848633
spikes,16,3,100000,100,20,50,101,1.4007872639277571e+17,2.5328231445836374e+17,1.6829668154011603e+17,0.16766792362815633,1.4105250835418701
